Credit_Score,Income,Loan_Amount,Term,Age,Employment_Length,Num_of_Late_Payments,Num_Loans,Debt_to_Income,Home_Ownership,Marital_Status,Education_Level,Sex,Defaulted
699.6714153011233,129967.77182930011,10454.809461012623,15,33,16,1,0,0.3970802845779711,RENT,MARRIED,DOCTORATE,MALE,1
636.1735698828816,106231.68414563844,5000.0,15,33,34,4,1,0.22078531761749004,MORTGAGE,DIVORCED,BACHELOR,FEMALE,0
714.7688538100692,62981.518496008706,8579.399945987614,30,63,4,0,2,0.07705042322834559,RENT,MARRIED,MASTER,FEMALE,0
802.3029856408025,27653.161114721304,5000.0,30,56,31,1,1,0.5512016763768751,OWN,DIVORCED,BACHELOR,MALE,1
626.5846625276664,94911.16568067949,33029.7142015096,30,48,2,4,1,0.3046329519476903,OWN,MARRIED,BACHELOR,MALE,0
626.586304305082,79674.26927108748,50000.0,30,60,34,2,1,0.38810956978868133,MORTGAGE,DIVORCED,MASTER,FEMALE,0
807.9212815507392,104759.66100138662,5000.0,15,41,13,1,2,0.38279389831293276,RENT,SINGLE,HIGH_SCHOOL,MALE,1
726.7434729152909,91758.59008409848,50000.0,30,18,30,1,2,0.42720346022185285,RENT,SINGLE,BACHELOR,MALE,0
603.0525614065048,112477.63576596676,14787.030987775222,30,28,30,3,2,0.12433201768324816,MORTGAGE,SINGLE,HIGH_SCHOOL,MALE,0
704.2560043585964,33238.2394219716,7121.093525572041,30,38,16,1,2,0.0932996632793853,RENT,MARRIED,MASTER,MALE,0
603.6582307187538,125869.70328171628,5000.0,30,21,23,3,1,0.5549327567438236,MORTGAGE,DIVORCED,BACHELOR,MALE,0
603.4270246429743,69879.98023461999,13887.929935427872,30,24,22,3,4,0.32212773081969487,RENT,DIVORCED,HIGH_SCHOOL,FEMALE,0
674.1962271566034,163763.04363126328,31647.697803952356,30,43,17,2,4,0.006476030053495402,OWN,SINGLE,HIGH_SCHOOL,MALE,0
458.6719755342202,25540.609095521606,24557.557155672996,30,64,13,2,2,0.32390163923628956,MORTGAGE,SINGLE,BACHELOR,MALE,0
477.5082167486967,146798.19015826247,5000.0,15,67,14,4,3,0.10705277787370084,RENT,SINGLE,MASTER,MALE,0
593.7712470759027,69895.53917313239,5000.0,30,29,14,1,0,0.17379161789223949,RENT,DIVORCED,DOCTORATE,FEMALE,0
548.7168879665576,27429.099819277584,10312.518624321754,30,48,5,1,3,0.28335918004310423,RENT,SINGLE,HIGH_SCHOOL,FEMALE,0
681.4247332595273,35805.70829728393,6999.39218760098,30,34,26,2,3,0.18379395584475328,MORTGAGE,MARRIED,MASTER,MALE,0
559.197592447879,43982.63459028399,5289.32183465119,30,50,14,1,3,0.5524445878734532,OWN,SINGLE,BACHELOR,MALE,1
508.76962986647084,81208.29732009582,6598.003569110232,15,28,35,3,4,0.08485274740503805,RENT,SINGLE,HIGH_SCHOOL,MALE,0
796.5648768921554,86141.77440177498,32540.10062313432,15,45,7,3,0,0.37309638445250687,MORTGAGE,DIVORCED,HIGH_SCHOOL,MALE,0
627.4223699513465,31314.99980307105,50000.0,15,49,14,4,3,0.27018494321410325,RENT,MARRIED,HIGH_SCHOOL,FEMALE,0
656.7528204687924,58782.270386950855,10387.329683550672,15,18,2,1,2,0.10732848282315356,OWN,DIVORCED,MASTER,FEMALE,1
507.52518137865434,167113.51793059317,47312.841364857806,15,64,12,1,4,0.44611022360912533,OWN,MARRIED,HIGH_SCHOOL,MALE,0
595.5617275474817,146377.15850503556,7757.289281144991,15,45,33,1,2,0.31263942862961386,OWN,MARRIED,HIGH_SCHOOL,MALE,0
661.0922589709866,81816.1834837016,12941.957719790484,30,59,23,1,2,0.07413978050904986,MORTGAGE,SINGLE,BACHELOR,FEMALE,0
